"etuus";"vuosi";"aikatyyppi";"viikko";"alue";"ikaluokka";"sukupuoli";"saapuneet_hakemukset";"updated";"saapuneet_hakemukset_kumu"
"Työttömyysturva";"2020";"viikko";"50";"Koko Suomi";"kaikki";"kaikki";"6941";"2023/11/21 09:43:32";"472080"
"Työttömyysturva";"2020";"viikko";"51";"Koko Suomi";"kaikki";"kaikki";"7153";"2023/11/21 09:43:32";"479233"
"Työttömyysturva";"2020";"viikko";"52";"Koko Suomi";"kaikki";"kaikki";"7427";"2023/11/21 09:43:32";"486660"
"Työttömyysturva";"2020";"viikko";"53";"Koko Suomi";"kaikki";"kaikki";"7919";"2023/11/21 09:43:32";"494579"
"Työttömyysturva";"2021";"viikko";"1";"Koko Suomi";"kaikki";"kaikki";"8041";"2023/11/21 09:43:32";"8041"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"kaikki";"kaikki";"8551";"2023/11/21 09:43:32";"16592"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"kaikki";"kaikki";"7988";"2023/11/21 09:43:32";"24580"
"Työttömyysturva";"2021";"viikko";"4";"Koko Suomi";"kaikki";"kaikki";"7245";"2023/11/21 09:43:32";"31825"
"Työttömyysturva";"2021";"viikko";"5";"Koko Suomi";"kaikki";"kaikki";"7175";"2023/11/21 09:43:32";"39000"
"Työttömyysturva";"2021";"viikko";"6";"Koko Suomi";"kaikki";"kaikki";"7169";"2023/11/21 09:43:32";"46169"
"Työttömyysturva";"2021";"viikko";"7";"Koko Suomi";"kaikki";"kaikki";"6810";"2023/11/21 09:43:32";"52979"
"Työttömyysturva";"2021";"viikko";"8";"Koko Suomi";"kaikki";"kaikki";"6282";"2023/11/21 09:43:32";"59261"
"Työttömyysturva";"2021";"viikko";"9";"Koko Suomi";"kaikki";"kaikki";"6536";"2023/11/21 09:43:32";"65797"
"Työttömyysturva";"2021";"viikko";"10";"Koko Suomi";"kaikki";"kaikki";"6319";"2023/11/21 09:43:32";"72116"
"Työttömyysturva";"2021";"viikko";"11";"Koko Suomi";"kaikki";"kaikki";"7214";"2023/11/21 09:43:32";"79330"
"Työttömyysturva";"2021";"viikko";"12";"Koko Suomi";"kaikki";"kaikki";"6002";"2023/11/21 09:43:32";"85332"
"Työttömyysturva";"2021";"viikko";"13";"Koko Suomi";"kaikki";"kaikki";"8555";"2023/11/21 09:43:32";"93887"
"Työttömyysturva";"2021";"viikko";"14";"Koko Suomi";"kaikki";"kaikki";"5551";"2023/11/21 09:43:32";"99438"
"Työttömyysturva";"2021";"viikko";"15";"Koko Suomi";"kaikki";"kaikki";"5198";"2023/11/21 09:43:32";"104636"
"Työttömyysturva";"2021";"viikko";"16";"Koko Suomi";"kaikki";"kaikki";"5595";"2023/11/21 09:43:32";"110231"
"Työttömyysturva";"2021";"viikko";"17";"Koko Suomi";"kaikki";"kaikki";"4936";"2023/11/21 09:43:32";"115167"
"Työttömyysturva";"2021";"viikko";"18";"Koko Suomi";"kaikki";"kaikki";"5895";"2023/11/21 09:43:32";"121062"
"Työttömyysturva";"2021";"viikko";"19";"Koko Suomi";"kaikki";"kaikki";"5563";"2023/11/21 09:43:32";"126625"
"Työttömyysturva";"2021";"viikko";"20";"Koko Suomi";"kaikki";"kaikki";"5713";"2023/11/21 09:43:32";"132338"
"Työttömyysturva";"2021";"viikko";"21";"Koko Suomi";"kaikki";"kaikki";"5494";"2023/11/21 09:43:32";"137832"
"Työttömyysturva";"2021";"viikko";"22";"Koko Suomi";"kaikki";"kaikki";"8396";"2023/11/21 09:43:32";"146228"
"Työttömyysturva";"2021";"viikko";"23";"Koko Suomi";"kaikki";"kaikki";"7541";"2023/11/21 09:43:32";"153769"
"Työttömyysturva";"2021";"viikko";"24";"Koko Suomi";"kaikki";"kaikki";"7239";"2023/11/21 09:43:32";"161008"
"Työttömyysturva";"2021";"viikko";"25";"Koko Suomi";"kaikki";"kaikki";"6494";"2023/11/21 09:43:32";"167502"
"Työttömyysturva";"2021";"viikko";"26";"Koko Suomi";"kaikki";"kaikki";"6654";"2023/11/21 09:43:32";"174156"
"Työttömyysturva";"2021";"viikko";"27";"Koko Suomi";"kaikki";"kaikki";"5640";"2023/11/21 09:43:32";"179796"
"Työttömyysturva";"2021";"viikko";"28";"Koko Suomi";"kaikki";"kaikki";"5584";"2023/11/21 09:43:32";"185380"
"Työttömyysturva";"2021";"viikko";"29";"Koko Suomi";"kaikki";"kaikki";"5360";"2023/11/21 09:43:32";"190740"
"Työttömyysturva";"2021";"viikko";"30";"Koko Suomi";"kaikki";"kaikki";"5442";"2023/11/21 09:43:32";"196182"
"Työttömyysturva";"2021";"viikko";"31";"Koko Suomi";"kaikki";"kaikki";"5414";"2023/11/21 09:43:32";"201596"
"Työttömyysturva";"2021";"viikko";"32";"Koko Suomi";"kaikki";"kaikki";"6079";"2023/11/21 09:43:32";"207675"
"Työttömyysturva";"2021";"viikko";"33";"Koko Suomi";"kaikki";"kaikki";"5837";"2023/11/21 09:43:32";"213512"
"Työttömyysturva";"2021";"viikko";"34";"Koko Suomi";"kaikki";"kaikki";"7112";"2023/11/21 09:43:32";"220624"
"Työttömyysturva";"2021";"viikko";"35";"Koko Suomi";"kaikki";"kaikki";"8432";"2023/11/21 09:43:32";"229056"
"Työttömyysturva";"2021";"viikko";"36";"Koko Suomi";"kaikki";"kaikki";"6545";"2023/11/21 09:43:32";"235601"
"Työttömyysturva";"2021";"viikko";"37";"Koko Suomi";"kaikki";"kaikki";"5749";"2023/11/21 09:43:32";"241350"
"Työttömyysturva";"2021";"viikko";"38";"Koko Suomi";"kaikki";"kaikki";"5917";"2023/11/21 09:43:32";"247267"
