"etuus";"vuosi";"aikatyyppi";"viikko";"paiva";"viikonpaiva";"alue";"ikaluokka";"sukupuoli";"saapuneet_hakemukset";"updated"
"Työttömyysturva";"2023";"paiva";"2";"2023-01-13";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1128";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"2";"2023-01-14";"lauantai";"Koko Suomi";"kaikki";"kaikki";"246";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"2";"2023-01-15";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"381";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"3";"2020-01-13";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1715";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"3";"2020-01-14";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1556";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"3";"2020-01-15";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1571";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"3";"2020-01-16";"torstai";"Koko Suomi";"kaikki";"kaikki";"1414";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"3";"2020-01-17";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1268";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"3";"2020-01-18";"lauantai";"Koko Suomi";"kaikki";"kaikki";"332";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"3";"2020-01-19";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"407";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"3";"2021-01-18";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1669";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"3";"2021-01-19";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1503";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"3";"2021-01-20";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1489";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"3";"2021-01-21";"torstai";"Koko Suomi";"kaikki";"kaikki";"1437";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"3";"2021-01-22";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1186";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"3";"2021-01-23";"lauantai";"Koko Suomi";"kaikki";"kaikki";"315";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"3";"2021-01-24";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"389";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"3";"2022-01-17";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1495";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"3";"2022-01-18";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1182";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"3";"2022-01-19";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1337";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"3";"2022-01-20";"torstai";"Koko Suomi";"kaikki";"kaikki";"1106";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"3";"2022-01-21";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1028";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"3";"2022-01-22";"lauantai";"Koko Suomi";"kaikki";"kaikki";"404";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"3";"2022-01-23";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"399";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"3";"2023-01-16";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1336";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"3";"2023-01-17";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1254";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"3";"2023-01-18";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1272";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"3";"2023-01-19";"torstai";"Koko Suomi";"kaikki";"kaikki";"1077";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"3";"2023-01-20";"perjantai";"Koko Suomi";"kaikki";"kaikki";"936";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"3";"2023-01-21";"lauantai";"Koko Suomi";"kaikki";"kaikki";"202";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"3";"2023-01-22";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"298";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"4";"2020-01-20";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1564";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"4";"2020-01-21";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1489";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"4";"2020-01-22";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1504";"2023/11/20 12:10:23"
