alue;etuus;vuosi;kuukausi;paiva;variable;val;type
Varsinais-Suomi;Perustoimeentulotuki;2019;1;2019-01-01;uudet saajat;539;Saajakotitaloudet
Varsinais-Suomi;Perustoimeentulotuki;2019;1;2019-01-01;aiemmin tukea saaneet;13721;Saajat
Varsinais-Suomi;Perustoimeentulotuki;2019;1;2019-01-01;aiemmin tukea saaneet;8858;Saajakotitaloudet
Etelä-Karjala;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;220;Saajat
Etelä-Karjala;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;164;Saajakotitaloudet
Etelä-Karjala;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;4035;Saajat
Etelä-Karjala;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;2829;Saajakotitaloudet
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;339;Saajat
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;260;Saajakotitaloudet
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;4365;Saajat
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;2944;Saajakotitaloudet
Etelä-Savo;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;249;Saajat
Etelä-Savo;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;197;Saajakotitaloudet
Etelä-Savo;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;4205;Saajat
Etelä-Savo;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;2938;Saajakotitaloudet
Kainuu;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;145;Saajat
Kainuu;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;106;Saajakotitaloudet
Kainuu;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;1799;Saajat
Kainuu;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;1295;Saajakotitaloudet
Kanta-Häme;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;342;Saajat
Kanta-Häme;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;261;Saajakotitaloudet
Kanta-Häme;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;6293;Saajat
Kanta-Häme;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;4161;Saajakotitaloudet
Keski-Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;92;Saajat
Keski-Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;71;Saajakotitaloudet
Keski-Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;1391;Saajat
Keski-Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;938;Saajakotitaloudet
Keski-Suomi;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;542;Saajat
Keski-Suomi;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;422;Saajakotitaloudet
Keski-Suomi;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;10546;Saajat
Keski-Suomi;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;7295;Saajakotitaloudet
Kymenlaakso;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;325;Saajat
Kymenlaakso;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;248;Saajakotitaloudet
Kymenlaakso;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;6104;Saajat
Kymenlaakso;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;4184;Saajakotitaloudet
Lappi;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;382;Saajat
Lappi;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;262;Saajakotitaloudet
Lappi;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;4614;Saajat
Lappi;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;3013;Saajakotitaloudet
Pirkanmaa;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;1054;Saajat
Pirkanmaa;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;797;Saajakotitaloudet
Pirkanmaa;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;20425;Saajat
Pirkanmaa;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;13899;Saajakotitaloudet
Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;195;Saajat
Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;154;Saajakotitaloudet
Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;4337;Saajat
Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;2543;Saajakotitaloudet
Pohjois-Karjala;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;311;Saajat
Pohjois-Karjala;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;236;Saajakotitaloudet
Pohjois-Karjala;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;5823;Saajat
Pohjois-Karjala;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;4068;Saajakotitaloudet
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;769;Saajat
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;538;Saajakotitaloudet
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;11046;Saajat
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;7501;Saajakotitaloudet
Pohjois-Savo;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;548;Saajat
Pohjois-Savo;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;416;Saajakotitaloudet
