etuus;vuosi;kuukausi;paiva;alue;variable;val
Yleinen asumistuki;2019;5;2019-05-01;Pirkanmaa;"aiemmin tukea 
saaneet ruokakunnat";39365
Yleinen asumistuki;2019;5;2019-05-01;Pohjanmaa;uudet saajaruokakunnat;168
Yleinen asumistuki;2019;5;2019-05-01;Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";9855
Yleinen asumistuki;2019;5;2019-05-01;Pohjois-Karjala;uudet saajaruokakunnat;196
Yleinen asumistuki;2019;5;2019-05-01;Pohjois-Karjala;"aiemmin tukea 
saaneet ruokakunnat";13240
Yleinen asumistuki;2019;5;2019-05-01;Pohjois-Pohjanmaa;uudet saajaruokakunnat;444
Yleinen asumistuki;2019;5;2019-05-01;Pohjois-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";27555
Yleinen asumistuki;2019;5;2019-05-01;Pohjois-Savo;uudet saajaruokakunnat;279
Yleinen asumistuki;2019;5;2019-05-01;Pohjois-Savo;"aiemmin tukea 
saaneet ruokakunnat";16514
Yleinen asumistuki;2019;5;2019-05-01;Päijät-Häme;uudet saajaruokakunnat;259
Yleinen asumistuki;2019;5;2019-05-01;Päijät-Häme;"aiemmin tukea 
saaneet ruokakunnat";13435
Yleinen asumistuki;2019;5;2019-05-01;Satakunta;uudet saajaruokakunnat;200
Yleinen asumistuki;2019;5;2019-05-01;Satakunta;"aiemmin tukea 
saaneet ruokakunnat";11163
Yleinen asumistuki;2019;5;2019-05-01;Uusimaa;uudet saajaruokakunnat;2393
Yleinen asumistuki;2019;5;2019-05-01;Uusimaa;"aiemmin tukea 
saaneet ruokakunnat";118464
Yleinen asumistuki;2019;5;2019-05-01;Varsinais-Suomi;uudet saajaruokakunnat;539
Yleinen asumistuki;2019;5;2019-05-01;Varsinais-Suomi;"aiemmin tukea 
saaneet ruokakunnat";32992
Yleinen asumistuki;2019;6;2019-06-01;Etelä-Karjala;uudet saajaruokakunnat;123
Yleinen asumistuki;2019;6;2019-06-01;Etelä-Karjala;"aiemmin tukea 
saaneet ruokakunnat";8238
Yleinen asumistuki;2019;6;2019-06-01;Etelä-Pohjanmaa;uudet saajaruokakunnat;153
Yleinen asumistuki;2019;6;2019-06-01;Etelä-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";7721
Yleinen asumistuki;2019;6;2019-06-01;Etelä-Savo;uudet saajaruokakunnat;104
Yleinen asumistuki;2019;6;2019-06-01;Etelä-Savo;"aiemmin tukea 
saaneet ruokakunnat";7218
Yleinen asumistuki;2019;6;2019-06-01;Kainuu;uudet saajaruokakunnat;83
Yleinen asumistuki;2019;6;2019-06-01;Kainuu;"aiemmin tukea 
saaneet ruokakunnat";3732
Yleinen asumistuki;2019;6;2019-06-01;Kanta-Häme;uudet saajaruokakunnat;158
Yleinen asumistuki;2019;6;2019-06-01;Kanta-Häme;"aiemmin tukea 
saaneet ruokakunnat";8430
Yleinen asumistuki;2019;6;2019-06-01;Keski-Pohjanmaa;uudet saajaruokakunnat;60
Yleinen asumistuki;2019;6;2019-06-01;Keski-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";2661
Yleinen asumistuki;2019;6;2019-06-01;Keski-Suomi;uudet saajaruokakunnat;299
Yleinen asumistuki;2019;6;2019-06-01;Keski-Suomi;"aiemmin tukea 
saaneet ruokakunnat";22180
Yleinen asumistuki;2019;6;2019-06-01;Kymenlaakso;uudet saajaruokakunnat;148
Yleinen asumistuki;2019;6;2019-06-01;Kymenlaakso;"aiemmin tukea 
saaneet ruokakunnat";9567
Yleinen asumistuki;2019;6;2019-06-01;Lappi;uudet saajaruokakunnat;214
Yleinen asumistuki;2019;6;2019-06-01;Lappi;"aiemmin tukea 
saaneet ruokakunnat";9826
Yleinen asumistuki;2019;6;2019-06-01;Pirkanmaa;uudet saajaruokakunnat;616
Yleinen asumistuki;2019;6;2019-06-01;Pirkanmaa;"aiemmin tukea 
saaneet ruokakunnat";38309
Yleinen asumistuki;2019;6;2019-06-01;Pohjanmaa;uudet saajaruokakunnat;144
Yleinen asumistuki;2019;6;2019-06-01;Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";9317
Yleinen asumistuki;2019;6;2019-06-01;Pohjois-Karjala;uudet saajaruokakunnat;169
Yleinen asumistuki;2019;6;2019-06-01;Pohjois-Karjala;"aiemmin tukea 
saaneet ruokakunnat";12794
Yleinen asumistuki;2019;6;2019-06-01;Pohjois-Pohjanmaa;uudet saajaruokakunnat;488
Yleinen asumistuki;2019;6;2019-06-01;Pohjois-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";26638
Yleinen asumistuki;2019;6;2019-06-01;Pohjois-Savo;uudet saajaruokakunnat;273
Yleinen asumistuki;2019;6;2019-06-01;Pohjois-Savo;"aiemmin tukea 
saaneet ruokakunnat";16067
Yleinen asumistuki;2019;6;2019-06-01;Päijät-Häme;uudet saajaruokakunnat;232
Yleinen asumistuki;2019;6;2019-06-01;Päijät-Häme;"aiemmin tukea 
saaneet ruokakunnat";13283
Yleinen asumistuki;2019;6;2019-06-01;Satakunta;uudet saajaruokakunnat;240
Yleinen asumistuki;2019;6;2019-06-01;Satakunta;"aiemmin tukea 
saaneet ruokakunnat";10940
Yleinen asumistuki;2019;6;2019-06-01;Uusimaa;uudet saajaruokakunnat;2105
Yleinen asumistuki;2019;6;2019-06-01;Uusimaa;"aiemmin tukea 
saaneet ruokakunnat";117755
Yleinen asumistuki;2019;6;2019-06-01;Varsinais-Suomi;uudet saajaruokakunnat;494
Yleinen asumistuki;2019;6;2019-06-01;Varsinais-Suomi;"aiemmin tukea 
saaneet ruokakunnat";32214
Yleinen asumistuki;2019;7;2019-07-01;Etelä-Karjala;uudet saajaruokakunnat;110
Yleinen asumistuki;2019;7;2019-07-01;Etelä-Karjala;"aiemmin tukea 
saaneet ruokakunnat";7943
Yleinen asumistuki;2019;7;2019-07-01;Etelä-Pohjanmaa;uudet saajaruokakunnat;117
Yleinen asumistuki;2019;7;2019-07-01;Etelä-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";7396
Yleinen asumistuki;2019;7;2019-07-01;Etelä-Savo;uudet saajaruokakunnat;84
Yleinen asumistuki;2019;7;2019-07-01;Etelä-Savo;"aiemmin tukea 
saaneet ruokakunnat";7037
Yleinen asumistuki;2019;7;2019-07-01;Kainuu;uudet saajaruokakunnat;66
Yleinen asumistuki;2019;7;2019-07-01;Kainuu;"aiemmin tukea 
saaneet ruokakunnat";3638
Yleinen asumistuki;2019;7;2019-07-01;Kanta-Häme;uudet saajaruokakunnat;133
Yleinen asumistuki;2019;7;2019-07-01;Kanta-Häme;"aiemmin tukea 
saaneet ruokakunnat";8203
Yleinen asumistuki;2019;7;2019-07-01;Keski-Pohjanmaa;uudet saajaruokakunnat;55
Yleinen asumistuki;2019;7;2019-07-01;Keski-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";2544
Yleinen asumistuki;2019;7;2019-07-01;Keski-Suomi;uudet saajaruokakunnat;259
Yleinen asumistuki;2019;7;2019-07-01;Keski-Suomi;"aiemmin tukea 
saaneet ruokakunnat";21403
Yleinen asumistuki;2019;7;2019-07-01;Kymenlaakso;uudet saajaruokakunnat;137
