etuus;vuosi;kuukausi;ikaluokka;sukupuoli;paiva;variable;val
Työttömyysturva;2019;6;35-44;kaikki;2019-06-01;uudet saajat;1012
Työttömyysturva;2019;6;45-54;kaikki;2019-06-01;uudet saajat;760
Työttömyysturva;2019;6;yli 54;kaikki;2019-06-01;uudet saajat;466
Työttömyysturva;2019;6;18-24;miehet;2019-06-01;uudet saajat;1121
Työttömyysturva;2019;6;25-34;miehet;2019-06-01;uudet saajat;860
Työttömyysturva;2019;6;35-44;miehet;2019-06-01;uudet saajat;454
Työttömyysturva;2019;6;45-54;miehet;2019-06-01;uudet saajat;371
Työttömyysturva;2019;6;yli 54;miehet;2019-06-01;uudet saajat;261
Työttömyysturva;2019;6;18-24;naiset;2019-06-01;uudet saajat;1059
Työttömyysturva;2019;6;25-34;naiset;2019-06-01;uudet saajat;1052
Työttömyysturva;2019;6;35-44;naiset;2019-06-01;uudet saajat;558
Työttömyysturva;2019;6;45-54;naiset;2019-06-01;uudet saajat;389
Työttömyysturva;2019;6;yli 54;naiset;2019-06-01;uudet saajat;205
Työttömyysturva;2019;7;18-24;kaikki;2019-07-01;aiemmin tukea saaneet;23741
Työttömyysturva;2019;7;25-34;kaikki;2019-07-01;aiemmin tukea saaneet;52580
Työttömyysturva;2019;7;35-44;kaikki;2019-07-01;aiemmin tukea saaneet;45873
Työttömyysturva;2019;7;45-54;kaikki;2019-07-01;aiemmin tukea saaneet;42476
Työttömyysturva;2019;7;yli 54;kaikki;2019-07-01;aiemmin tukea saaneet;35327
Työttömyysturva;2019;7;18-24;miehet;2019-07-01;aiemmin tukea saaneet;13119
Työttömyysturva;2019;7;25-34;miehet;2019-07-01;aiemmin tukea saaneet;27458
Työttömyysturva;2019;7;35-44;miehet;2019-07-01;aiemmin tukea saaneet;22460
Työttömyysturva;2019;7;45-54;miehet;2019-07-01;aiemmin tukea saaneet;21922
Työttömyysturva;2019;7;yli 54;miehet;2019-07-01;aiemmin tukea saaneet;18823
Työttömyysturva;2019;7;18-24;naiset;2019-07-01;aiemmin tukea saaneet;10622
Työttömyysturva;2019;7;25-34;naiset;2019-07-01;aiemmin tukea saaneet;25122
Työttömyysturva;2019;7;35-44;naiset;2019-07-01;aiemmin tukea saaneet;23413
Työttömyysturva;2019;7;45-54;naiset;2019-07-01;aiemmin tukea saaneet;20554
Työttömyysturva;2019;7;yli 54;naiset;2019-07-01;aiemmin tukea saaneet;16504
Työttömyysturva;2019;7;18-24;kaikki;2019-07-01;uudet saajat;3993
Työttömyysturva;2019;7;25-34;kaikki;2019-07-01;uudet saajat;3006
Työttömyysturva;2019;7;35-44;kaikki;2019-07-01;uudet saajat;1416
Työttömyysturva;2019;7;45-54;kaikki;2019-07-01;uudet saajat;968
Työttömyysturva;2019;7;yli 54;kaikki;2019-07-01;uudet saajat;662
Työttömyysturva;2019;7;18-24;miehet;2019-07-01;uudet saajat;2154
Työttömyysturva;2019;7;25-34;miehet;2019-07-01;uudet saajat;1286
Työttömyysturva;2019;7;35-44;miehet;2019-07-01;uudet saajat;617
Työttömyysturva;2019;7;45-54;miehet;2019-07-01;uudet saajat;484
Työttömyysturva;2019;7;yli 54;miehet;2019-07-01;uudet saajat;337
Työttömyysturva;2019;7;18-24;naiset;2019-07-01;uudet saajat;1839
Työttömyysturva;2019;7;25-34;naiset;2019-07-01;uudet saajat;1720
Työttömyysturva;2019;7;35-44;naiset;2019-07-01;uudet saajat;799
Työttömyysturva;2019;7;45-54;naiset;2019-07-01;uudet saajat;484
Työttömyysturva;2019;7;yli 54;naiset;2019-07-01;uudet saajat;325
Työttömyysturva;2019;8;18-24;kaikki;2019-08-01;aiemmin tukea saaneet;24765
Työttömyysturva;2019;8;25-34;kaikki;2019-08-01;aiemmin tukea saaneet;53300
Työttömyysturva;2019;8;35-44;kaikki;2019-08-01;aiemmin tukea saaneet;46431
Työttömyysturva;2019;8;45-54;kaikki;2019-08-01;aiemmin tukea saaneet;42555
Työttömyysturva;2019;8;yli 54;kaikki;2019-08-01;aiemmin tukea saaneet;35586
Työttömyysturva;2019;8;18-24;miehet;2019-08-01;aiemmin tukea saaneet;13416
Työttömyysturva;2019;8;25-34;miehet;2019-08-01;aiemmin tukea saaneet;27329
Työttömyysturva;2019;8;35-44;miehet;2019-08-01;aiemmin tukea saaneet;22552
Työttömyysturva;2019;8;45-54;miehet;2019-08-01;aiemmin tukea saaneet;21859
Työttömyysturva;2019;8;yli 54;miehet;2019-08-01;aiemmin tukea saaneet;18902
Työttömyysturva;2019;8;18-24;naiset;2019-08-01;aiemmin tukea saaneet;11349
Työttömyysturva;2019;8;25-34;naiset;2019-08-01;aiemmin tukea saaneet;25971
Työttömyysturva;2019;8;35-44;naiset;2019-08-01;aiemmin tukea saaneet;23879
Työttömyysturva;2019;8;45-54;naiset;2019-08-01;aiemmin tukea saaneet;20696
Työttömyysturva;2019;8;yli 54;naiset;2019-08-01;aiemmin tukea saaneet;16684
Työttömyysturva;2019;8;18-24;kaikki;2019-08-01;uudet saajat;2285
Työttömyysturva;2019;8;25-34;kaikki;2019-08-01;uudet saajat;2390
Työttömyysturva;2019;8;35-44;kaikki;2019-08-01;uudet saajat;1392
Työttömyysturva;2019;8;45-54;kaikki;2019-08-01;uudet saajat;1071
Työttömyysturva;2019;8;yli 54;kaikki;2019-08-01;uudet saajat;683
Työttömyysturva;2019;8;18-24;miehet;2019-08-01;uudet saajat;1283
Työttömyysturva;2019;8;25-34;miehet;2019-08-01;uudet saajat;930
Työttömyysturva;2019;8;35-44;miehet;2019-08-01;uudet saajat;565
Työttömyysturva;2019;8;45-54;miehet;2019-08-01;uudet saajat;528
Työttömyysturva;2019;8;yli 54;miehet;2019-08-01;uudet saajat;342
Työttömyysturva;2019;8;18-24;naiset;2019-08-01;uudet saajat;1002
Työttömyysturva;2019;8;25-34;naiset;2019-08-01;uudet saajat;1460
Työttömyysturva;2019;8;35-44;naiset;2019-08-01;uudet saajat;827
Työttömyysturva;2019;8;45-54;naiset;2019-08-01;uudet saajat;543
Työttömyysturva;2019;8;yli 54;naiset;2019-08-01;uudet saajat;341
Työttömyysturva;2019;9;18-24;kaikki;2019-09-01;aiemmin tukea saaneet;22658
Työttömyysturva;2019;9;25-34;kaikki;2019-09-01;aiemmin tukea saaneet;51708
Työttömyysturva;2019;9;35-44;kaikki;2019-09-01;aiemmin tukea saaneet;45459
Työttömyysturva;2019;9;45-54;kaikki;2019-09-01;aiemmin tukea saaneet;41874
Työttömyysturva;2019;9;yli 54;kaikki;2019-09-01;aiemmin tukea saaneet;35213
Työttömyysturva;2019;9;18-24;miehet;2019-09-01;aiemmin tukea saaneet;12583
Työttömyysturva;2019;9;25-34;miehet;2019-09-01;aiemmin tukea saaneet;26744
Työttömyysturva;2019;9;35-44;miehet;2019-09-01;aiemmin tukea saaneet;22254
Työttömyysturva;2019;9;45-54;miehet;2019-09-01;aiemmin tukea saaneet;21618
Työttömyysturva;2019;9;yli 54;miehet;2019-09-01;aiemmin tukea saaneet;18770
Työttömyysturva;2019;9;18-24;naiset;2019-09-01;aiemmin tukea saaneet;10075
Työttömyysturva;2019;9;25-34;naiset;2019-09-01;aiemmin tukea saaneet;24964
Työttömyysturva;2019;9;35-44;naiset;2019-09-01;aiemmin tukea saaneet;23205
Työttömyysturva;2019;9;45-54;naiset;2019-09-01;aiemmin tukea saaneet;20256
Työttömyysturva;2019;9;yli 54;naiset;2019-09-01;aiemmin tukea saaneet;16443
Työttömyysturva;2019;9;18-24;kaikki;2019-09-01;uudet saajat;1909
Työttömyysturva;2019;9;25-34;kaikki;2019-09-01;uudet saajat;2521
Työttömyysturva;2019;9;35-44;kaikki;2019-09-01;uudet saajat;1381
Työttömyysturva;2019;9;45-54;kaikki;2019-09-01;uudet saajat;820
Työttömyysturva;2019;9;yli 54;kaikki;2019-09-01;uudet saajat;581
Työttömyysturva;2019;9;18-24;miehet;2019-09-01;uudet saajat;957
Työttömyysturva;2019;9;25-34;miehet;2019-09-01;uudet saajat;1030
Työttömyysturva;2019;9;35-44;miehet;2019-09-01;uudet saajat;523
Työttömyysturva;2019;9;45-54;miehet;2019-09-01;uudet saajat;399
Työttömyysturva;2019;9;yli 54;miehet;2019-09-01;uudet saajat;302
Työttömyysturva;2019;9;18-24;naiset;2019-09-01;uudet saajat;952
Työttömyysturva;2019;9;25-34;naiset;2019-09-01;uudet saajat;1491
Työttömyysturva;2019;9;35-44;naiset;2019-09-01;uudet saajat;858
Työttömyysturva;2019;9;45-54;naiset;2019-09-01;uudet saajat;421
Työttömyysturva;2019;9;yli 54;naiset;2019-09-01;uudet saajat;279
Työttömyysturva;2019;10;18-24;kaikki;2019-10-01;aiemmin tukea saaneet;21887
Työttömyysturva;2019;10;25-34;kaikki;2019-10-01;aiemmin tukea saaneet;52273
Työttömyysturva;2019;10;35-44;kaikki;2019-10-01;aiemmin tukea saaneet;45807
Työttömyysturva;2019;10;45-54;kaikki;2019-10-01;aiemmin tukea saaneet;42280
Työttömyysturva;2019;10;yli 54;kaikki;2019-10-01;aiemmin tukea saaneet;35628
Työttömyysturva;2019;10;18-24;miehet;2019-10-01;aiemmin tukea saaneet;12234
Työttömyysturva;2019;10;25-34;miehet;2019-10-01;aiemmin tukea saaneet;27032
Työttömyysturva;2019;10;35-44;miehet;2019-10-01;aiemmin tukea saaneet;22320
Työttömyysturva;2019;10;45-54;miehet;2019-10-01;aiemmin tukea saaneet;21925
Työttömyysturva;2019;10;yli 54;miehet;2019-10-01;aiemmin tukea saaneet;18981
Työttömyysturva;2019;10;18-24;naiset;2019-10-01;aiemmin tukea saaneet;9653
Työttömyysturva;2019;10;25-34;naiset;2019-10-01;aiemmin tukea saaneet;25241
Työttömyysturva;2019;10;35-44;naiset;2019-10-01;aiemmin tukea saaneet;23487
Työttömyysturva;2019;10;45-54;naiset;2019-10-01;aiemmin tukea saaneet;20355
Työttömyysturva;2019;10;yli 54;naiset;2019-10-01;aiemmin tukea saaneet;16647
Työttömyysturva;2019;10;18-24;kaikki;2019-10-01;uudet saajat;2125
Työttömyysturva;2019;10;25-34;kaikki;2019-10-01;uudet saajat;2366
Työttömyysturva;2019;10;35-44;kaikki;2019-10-01;uudet saajat;1359
Työttömyysturva;2019;10;45-54;kaikki;2019-10-01;uudet saajat;884
Työttömyysturva;2019;10;yli 54;kaikki;2019-10-01;uudet saajat;547
Työttömyysturva;2019;10;18-24;miehet;2019-10-01;uudet saajat;1091
Työttömyysturva;2019;10;25-34;miehet;2019-10-01;uudet saajat;1020
Työttömyysturva;2019;10;35-44;miehet;2019-10-01;uudet saajat;593
Työttömyysturva;2019;10;45-54;miehet;2019-10-01;uudet saajat;434
Työttömyysturva;2019;10;yli 54;miehet;2019-10-01;uudet saajat;270
Työttömyysturva;2019;10;18-24;naiset;2019-10-01;uudet saajat;1034
Työttömyysturva;2019;10;25-34;naiset;2019-10-01;uudet saajat;1346
Työttömyysturva;2019;10;35-44;naiset;2019-10-01;uudet saajat;766
Työttömyysturva;2019;10;45-54;naiset;2019-10-01;uudet saajat;450
Työttömyysturva;2019;10;yli 54;naiset;2019-10-01;uudet saajat;277
Työttömyysturva;2019;11;18-24;kaikki;2019-11-01;aiemmin tukea saaneet;21948
Työttömyysturva;2019;11;25-34;kaikki;2019-11-01;aiemmin tukea saaneet;51727
Työttömyysturva;2019;11;35-44;kaikki;2019-11-01;aiemmin tukea saaneet;45180
Työttömyysturva;2019;11;45-54;kaikki;2019-11-01;aiemmin tukea saaneet;41424
Työttömyysturva;2019;11;yli 54;kaikki;2019-11-01;aiemmin tukea saaneet;32579
Työttömyysturva;2019;11;18-24;miehet;2019-11-01;aiemmin tukea saaneet;12234
Työttömyysturva;2019;11;25-34;miehet;2019-11-01;aiemmin tukea saaneet;26822
Työttömyysturva;2019;11;35-44;miehet;2019-11-01;aiemmin tukea saaneet;22083
Työttömyysturva;2019;11;45-54;miehet;2019-11-01;aiemmin tukea saaneet;21542
Työttömyysturva;2019;11;yli 54;miehet;2019-11-01;aiemmin tukea saaneet;17273
Työttömyysturva;2019;11;18-24;naiset;2019-11-01;aiemmin tukea saaneet;9714
Työttömyysturva;2019;11;25-34;naiset;2019-11-01;aiemmin tukea saaneet;24905
Työttömyysturva;2019;11;35-44;naiset;2019-11-01;aiemmin tukea saaneet;23097
Työttömyysturva;2019;11;45-54;naiset;2019-11-01;aiemmin tukea saaneet;19882
Työttömyysturva;2019;11;yli 54;naiset;2019-11-01;aiemmin tukea saaneet;15306
Työttömyysturva;2019;11;18-24;kaikki;2019-11-01;uudet saajat;1934
