etuus;vuosi;kuukausi;paiva;alue;variable;val
Työttömyysturva;2019;5;2019-05-01;Pohjois-Karjala;aiemmin tukea saaneet;8332
Työttömyysturva;2019;5;2019-05-01;Pohjois-Pohjanmaa;aiemmin tukea saaneet;15748
Työttömyysturva;2019;5;2019-05-01;Pohjois-Savo;aiemmin tukea saaneet;8792
Työttömyysturva;2019;5;2019-05-01;Päijät-Häme;aiemmin tukea saaneet;9214
Työttömyysturva;2019;5;2019-05-01;Satakunta;aiemmin tukea saaneet;7302
Työttömyysturva;2019;5;2019-05-01;Uusimaa;aiemmin tukea saaneet;63131
Työttömyysturva;2019;5;2019-05-01;Varsinais-Suomi;aiemmin tukea saaneet;16849
Työttömyysturva;2019;5;2019-05-01;Etelä-Karjala;uudet saajat;201
Työttömyysturva;2019;5;2019-05-01;Etelä-Pohjanmaa;uudet saajat;221
Työttömyysturva;2019;5;2019-05-01;Etelä-Savo;uudet saajat;173
Työttömyysturva;2019;5;2019-05-01;Kainuu;uudet saajat;79
Työttömyysturva;2019;5;2019-05-01;Kanta-Häme;uudet saajat;232
Työttömyysturva;2019;5;2019-05-01;Keski-Pohjanmaa;uudet saajat;94
Työttömyysturva;2019;5;2019-05-01;Keski-Suomi;uudet saajat;416
Työttömyysturva;2019;5;2019-05-01;Kymenlaakso;uudet saajat;230
Työttömyysturva;2019;5;2019-05-01;Lappi;uudet saajat;256
Työttömyysturva;2019;5;2019-05-01;Pirkanmaa;uudet saajat;717
Työttömyysturva;2019;5;2019-05-01;Pohjanmaa;uudet saajat;191
Työttömyysturva;2019;5;2019-05-01;Pohjois-Karjala;uudet saajat;253
Työttömyysturva;2019;5;2019-05-01;Pohjois-Pohjanmaa;uudet saajat;663
Työttömyysturva;2019;5;2019-05-01;Pohjois-Savo;uudet saajat;278
Työttömyysturva;2019;5;2019-05-01;Päijät-Häme;uudet saajat;307
Työttömyysturva;2019;5;2019-05-01;Satakunta;uudet saajat;315
Työttömyysturva;2019;5;2019-05-01;Uusimaa;uudet saajat;2159
Työttömyysturva;2019;5;2019-05-01;Varsinais-Suomi;uudet saajat;613
Työttömyysturva;2019;6;2019-06-01;Etelä-Karjala;aiemmin tukea saaneet;4855
Työttömyysturva;2019;6;2019-06-01;Etelä-Pohjanmaa;aiemmin tukea saaneet;4564
Työttömyysturva;2019;6;2019-06-01;Etelä-Savo;aiemmin tukea saaneet;4960
Työttömyysturva;2019;6;2019-06-01;Kainuu;aiemmin tukea saaneet;2470
Työttömyysturva;2019;6;2019-06-01;Kanta-Häme;aiemmin tukea saaneet;5872
Työttömyysturva;2019;6;2019-06-01;Keski-Pohjanmaa;aiemmin tukea saaneet;1913
Työttömyysturva;2019;6;2019-06-01;Keski-Suomi;aiemmin tukea saaneet;11449
Työttömyysturva;2019;6;2019-06-01;Kymenlaakso;aiemmin tukea saaneet;7350
Työttömyysturva;2019;6;2019-06-01;Lappi;aiemmin tukea saaneet;5426
Työttömyysturva;2019;6;2019-06-01;Pirkanmaa;aiemmin tukea saaneet;20669
Työttömyysturva;2019;6;2019-06-01;Pohjanmaa;aiemmin tukea saaneet;4709
Työttömyysturva;2019;6;2019-06-01;Pohjois-Karjala;aiemmin tukea saaneet;7958
Työttömyysturva;2019;6;2019-06-01;Pohjois-Pohjanmaa;aiemmin tukea saaneet;14928
Työttömyysturva;2019;6;2019-06-01;Pohjois-Savo;aiemmin tukea saaneet;8320
Työttömyysturva;2019;6;2019-06-01;Päijät-Häme;aiemmin tukea saaneet;8680
Työttömyysturva;2019;6;2019-06-01;Satakunta;aiemmin tukea saaneet;6942
Työttömyysturva;2019;6;2019-06-01;Uusimaa;aiemmin tukea saaneet;60790
Työttömyysturva;2019;6;2019-06-01;Varsinais-Suomi;aiemmin tukea saaneet;16099
Työttömyysturva;2019;6;2019-06-01;Etelä-Karjala;uudet saajat;148
Työttömyysturva;2019;6;2019-06-01;Etelä-Pohjanmaa;uudet saajat;181
Työttömyysturva;2019;6;2019-06-01;Etelä-Savo;uudet saajat;122
Työttömyysturva;2019;6;2019-06-01;Kainuu;uudet saajat;88
Työttömyysturva;2019;6;2019-06-01;Kanta-Häme;uudet saajat;168
Työttömyysturva;2019;6;2019-06-01;Keski-Pohjanmaa;uudet saajat;71
Työttömyysturva;2019;6;2019-06-01;Keski-Suomi;uudet saajat;384
Työttömyysturva;2019;6;2019-06-01;Kymenlaakso;uudet saajat;199
Työttömyysturva;2019;6;2019-06-01;Lappi;uudet saajat;243
Työttömyysturva;2019;6;2019-06-01;Pirkanmaa;uudet saajat;590
Työttömyysturva;2019;6;2019-06-01;Pohjanmaa;uudet saajat;162
Työttömyysturva;2019;6;2019-06-01;Pohjois-Karjala;uudet saajat;234
Työttömyysturva;2019;6;2019-06-01;Pohjois-Pohjanmaa;uudet saajat;609
Työttömyysturva;2019;6;2019-06-01;Pohjois-Savo;uudet saajat;267
Työttömyysturva;2019;6;2019-06-01;Päijät-Häme;uudet saajat;266
Työttömyysturva;2019;6;2019-06-01;Satakunta;uudet saajat;277
Työttömyysturva;2019;6;2019-06-01;Uusimaa;uudet saajat;1803
Työttömyysturva;2019;6;2019-06-01;Varsinais-Suomi;uudet saajat;557
Työttömyysturva;2019;7;2019-07-01;Etelä-Karjala;aiemmin tukea saaneet;4931
Työttömyysturva;2019;7;2019-07-01;Etelä-Pohjanmaa;aiemmin tukea saaneet;4529
Työttömyysturva;2019;7;2019-07-01;Etelä-Savo;aiemmin tukea saaneet;4885
Työttömyysturva;2019;7;2019-07-01;Kainuu;aiemmin tukea saaneet;2485
Työttömyysturva;2019;7;2019-07-01;Kanta-Häme;aiemmin tukea saaneet;5866
Työttömyysturva;2019;7;2019-07-01;Keski-Pohjanmaa;aiemmin tukea saaneet;1909
Työttömyysturva;2019;7;2019-07-01;Keski-Suomi;aiemmin tukea saaneet;11563
Työttömyysturva;2019;7;2019-07-01;Kymenlaakso;aiemmin tukea saaneet;7462
Työttömyysturva;2019;7;2019-07-01;Lappi;aiemmin tukea saaneet;5404
Työttömyysturva;2019;7;2019-07-01;Pirkanmaa;aiemmin tukea saaneet;20896
Työttömyysturva;2019;7;2019-07-01;Pohjanmaa;aiemmin tukea saaneet;4748
Työttömyysturva;2019;7;2019-07-01;Pohjois-Karjala;aiemmin tukea saaneet;8051
Työttömyysturva;2019;7;2019-07-01;Pohjois-Pohjanmaa;aiemmin tukea saaneet;15102
Työttömyysturva;2019;7;2019-07-01;Pohjois-Savo;aiemmin tukea saaneet;8266
Työttömyysturva;2019;7;2019-07-01;Päijät-Häme;aiemmin tukea saaneet;8927
Työttömyysturva;2019;7;2019-07-01;Satakunta;aiemmin tukea saaneet;7004
Työttömyysturva;2019;7;2019-07-01;Uusimaa;aiemmin tukea saaneet;62001
Työttömyysturva;2019;7;2019-07-01;Varsinais-Suomi;aiemmin tukea saaneet;16077
Työttömyysturva;2019;7;2019-07-01;Etelä-Karjala;uudet saajat;240
Työttömyysturva;2019;7;2019-07-01;Etelä-Pohjanmaa;uudet saajat;248
Työttömyysturva;2019;7;2019-07-01;Etelä-Savo;uudet saajat;255
Työttömyysturva;2019;7;2019-07-01;Kainuu;uudet saajat;120
Työttömyysturva;2019;7;2019-07-01;Kanta-Häme;uudet saajat;238
Työttömyysturva;2019;7;2019-07-01;Keski-Pohjanmaa;uudet saajat;109
Työttömyysturva;2019;7;2019-07-01;Keski-Suomi;uudet saajat;684
Työttömyysturva;2019;7;2019-07-01;Kymenlaakso;uudet saajat;309
Työttömyysturva;2019;7;2019-07-01;Lappi;uudet saajat;338
Työttömyysturva;2019;7;2019-07-01;Pirkanmaa;uudet saajat;942
Työttömyysturva;2019;7;2019-07-01;Pohjanmaa;uudet saajat;243
Työttömyysturva;2019;7;2019-07-01;Pohjois-Karjala;uudet saajat;422
Työttömyysturva;2019;7;2019-07-01;Pohjois-Pohjanmaa;uudet saajat;844
Työttömyysturva;2019;7;2019-07-01;Pohjois-Savo;uudet saajat;478
Työttömyysturva;2019;7;2019-07-01;Päijät-Häme;uudet saajat;335
Työttömyysturva;2019;7;2019-07-01;Satakunta;uudet saajat;400
Työttömyysturva;2019;7;2019-07-01;Uusimaa;uudet saajat;3014
Työttömyysturva;2019;7;2019-07-01;Varsinais-Suomi;uudet saajat;846
Työttömyysturva;2019;8;2019-08-01;Etelä-Karjala;aiemmin tukea saaneet;4946
Työttömyysturva;2019;8;2019-08-01;Etelä-Pohjanmaa;aiemmin tukea saaneet;4598
Työttömyysturva;2019;8;2019-08-01;Etelä-Savo;aiemmin tukea saaneet;4921
Työttömyysturva;2019;8;2019-08-01;Kainuu;aiemmin tukea saaneet;2491
Työttömyysturva;2019;8;2019-08-01;Kanta-Häme;aiemmin tukea saaneet;5910
Työttömyysturva;2019;8;2019-08-01;Keski-Pohjanmaa;aiemmin tukea saaneet;1906
Työttömyysturva;2019;8;2019-08-01;Keski-Suomi;aiemmin tukea saaneet;11658
Työttömyysturva;2019;8;2019-08-01;Kymenlaakso;aiemmin tukea saaneet;7413
Työttömyysturva;2019;8;2019-08-01;Lappi;aiemmin tukea saaneet;5404
Työttömyysturva;2019;8;2019-08-01;Pirkanmaa;aiemmin tukea saaneet;21134
Työttömyysturva;2019;8;2019-08-01;Pohjanmaa;aiemmin tukea saaneet;4802
Työttömyysturva;2019;8;2019-08-01;Pohjois-Karjala;aiemmin tukea saaneet;8130
Työttömyysturva;2019;8;2019-08-01;Pohjois-Pohjanmaa;aiemmin tukea saaneet;15145
Työttömyysturva;2019;8;2019-08-01;Pohjois-Savo;aiemmin tukea saaneet;8363
Työttömyysturva;2019;8;2019-08-01;Päijät-Häme;aiemmin tukea saaneet;8911
Työttömyysturva;2019;8;2019-08-01;Satakunta;aiemmin tukea saaneet;7140
Työttömyysturva;2019;8;2019-08-01;Uusimaa;aiemmin tukea saaneet;63414
Työttömyysturva;2019;8;2019-08-01;Varsinais-Suomi;aiemmin tukea saaneet;16401
Työttömyysturva;2019;8;2019-08-01;Etelä-Karjala;uudet saajat;236
Työttömyysturva;2019;8;2019-08-01;Etelä-Pohjanmaa;uudet saajat;218
Työttömyysturva;2019;8;2019-08-01;Etelä-Savo;uudet saajat;179
Työttömyysturva;2019;8;2019-08-01;Kainuu;uudet saajat;89
Työttömyysturva;2019;8;2019-08-01;Kanta-Häme;uudet saajat;208
Työttömyysturva;2019;8;2019-08-01;Keski-Pohjanmaa;uudet saajat;84
Työttömyysturva;2019;8;2019-08-01;Keski-Suomi;uudet saajat;425
Työttömyysturva;2019;8;2019-08-01;Kymenlaakso;uudet saajat;262
Työttömyysturva;2019;8;2019-08-01;Lappi;uudet saajat;251
Työttömyysturva;2019;8;2019-08-01;Pirkanmaa;uudet saajat;679
Työttömyysturva;2019;8;2019-08-01;Pohjanmaa;uudet saajat;208
Työttömyysturva;2019;8;2019-08-01;Pohjois-Karjala;uudet saajat;218
Työttömyysturva;2019;8;2019-08-01;Pohjois-Pohjanmaa;uudet saajat;553
Työttömyysturva;2019;8;2019-08-01;Pohjois-Savo;uudet saajat;272
Työttömyysturva;2019;8;2019-08-01;Päijät-Häme;uudet saajat;323
Työttömyysturva;2019;8;2019-08-01;Satakunta;uudet saajat;331
Työttömyysturva;2019;8;2019-08-01;Uusimaa;uudet saajat;2639
Työttömyysturva;2019;8;2019-08-01;Varsinais-Suomi;uudet saajat;668
Työttömyysturva;2019;9;2019-09-01;Etelä-Karjala;aiemmin tukea saaneet;4893
Työttömyysturva;2019;9;2019-09-01;Etelä-Pohjanmaa;aiemmin tukea saaneet;4468
Työttömyysturva;2019;9;2019-09-01;Etelä-Savo;aiemmin tukea saaneet;4864
Työttömyysturva;2019;9;2019-09-01;Kainuu;aiemmin tukea saaneet;2405
Työttömyysturva;2019;9;2019-09-01;Kanta-Häme;aiemmin tukea saaneet;5701
Työttömyysturva;2019;9;2019-09-01;Keski-Pohjanmaa;aiemmin tukea saaneet;1834
Työttömyysturva;2019;9;2019-09-01;Keski-Suomi;aiemmin tukea saaneet;11398
Työttömyysturva;2019;9;2019-09-01;Kymenlaakso;aiemmin tukea saaneet;7225
Työttömyysturva;2019;9;2019-09-01;Lappi;aiemmin tukea saaneet;5267
Työttömyysturva;2019;9;2019-09-01;Pirkanmaa;aiemmin tukea saaneet;20199
Työttömyysturva;2019;9;2019-09-01;Pohjanmaa;aiemmin tukea saaneet;4679
Työttömyysturva;2019;9;2019-09-01;Pohjois-Karjala;aiemmin tukea saaneet;7905
Työttömyysturva;2019;9;2019-09-01;Pohjois-Pohjanmaa;aiemmin tukea saaneet;14553
Työttömyysturva;2019;9;2019-09-01;Pohjois-Savo;aiemmin tukea saaneet;8127
Työttömyysturva;2019;9;2019-09-01;Päijät-Häme;aiemmin tukea saaneet;8853
Työttömyysturva;2019;9;2019-09-01;Satakunta;aiemmin tukea saaneet;7018
Työttömyysturva;2019;9;2019-09-01;Uusimaa;aiemmin tukea saaneet;61733
Työttömyysturva;2019;9;2019-09-01;Varsinais-Suomi;aiemmin tukea saaneet;15824
Työttömyysturva;2019;9;2019-09-01;Etelä-Karjala;uudet saajat;166
Työttömyysturva;2019;9;2019-09-01;Etelä-Pohjanmaa;uudet saajat;188
Työttömyysturva;2019;9;2019-09-01;Etelä-Savo;uudet saajat;164
Työttömyysturva;2019;9;2019-09-01;Kainuu;uudet saajat;96
Työttömyysturva;2019;9;2019-09-01;Kanta-Häme;uudet saajat;212
Työttömyysturva;2019;9;2019-09-01;Keski-Pohjanmaa;uudet saajat;70
Työttömyysturva;2019;9;2019-09-01;Keski-Suomi;uudet saajat;396
Työttömyysturva;2019;9;2019-09-01;Kymenlaakso;uudet saajat;226
Työttömyysturva;2019;9;2019-09-01;Lappi;uudet saajat;195
Työttömyysturva;2019;9;2019-09-01;Pirkanmaa;uudet saajat;630
Työttömyysturva;2019;9;2019-09-01;Pohjanmaa;uudet saajat;173
Työttömyysturva;2019;9;2019-09-01;Pohjois-Karjala;uudet saajat;221
Työttömyysturva;2019;9;2019-09-01;Pohjois-Pohjanmaa;uudet saajat;579
Työttömyysturva;2019;9;2019-09-01;Pohjois-Savo;uudet saajat;299
Työttömyysturva;2019;9;2019-09-01;Päijät-Häme;uudet saajat;327
Työttömyysturva;2019;9;2019-09-01;Satakunta;uudet saajat;242
Työttömyysturva;2019;9;2019-09-01;Uusimaa;uudet saajat;2526
