etuus;vuosi;aikatyyppi;viikko;paiva;viikonpaiva;alue;ikaluokka;sukupuoli;saapuneet_hakemukset;updated
Työttömyysturva;2020;paiva;8;2020-02-18;tiistai;Koko Suomi;kaikki;kaikki;1193;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;8;2020-02-19;keskiviikko;Koko Suomi;kaikki;kaikki;1365;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;8;2020-02-20;torstai;Koko Suomi;kaikki;kaikki;1048;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;8;2020-02-21;perjantai;Koko Suomi;kaikki;kaikki;1173;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;8;2020-02-22;lauantai;Koko Suomi;kaikki;kaikki;254;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;8;2020-02-23;sunnuntai;Koko Suomi;kaikki;kaikki;283;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;8;2021-02-22;maanantai;Koko Suomi;kaikki;kaikki;1249;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;8;2021-02-23;tiistai;Koko Suomi;kaikki;kaikki;1142;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;8;2021-02-24;keskiviikko;Koko Suomi;kaikki;kaikki;1239;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;8;2021-02-25;torstai;Koko Suomi;kaikki;kaikki;1145;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;8;2021-02-26;perjantai;Koko Suomi;kaikki;kaikki;975;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;8;2021-02-27;lauantai;Koko Suomi;kaikki;kaikki;165;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;8;2021-02-28;sunnuntai;Koko Suomi;kaikki;kaikki;367;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;9;2020-02-24;maanantai;Koko Suomi;kaikki;kaikki;1506;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;9;2020-02-25;tiistai;Koko Suomi;kaikki;kaikki;1369;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;9;2020-02-26;keskiviikko;Koko Suomi;kaikki;kaikki;1368;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;9;2020-02-27;torstai;Koko Suomi;kaikki;kaikki;1430;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;9;2020-02-28;perjantai;Koko Suomi;kaikki;kaikki;1221;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;9;2020-02-29;lauantai;Koko Suomi;kaikki;kaikki;0;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;9;2020-03-01;sunnuntai;Koko Suomi;kaikki;kaikki;620;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;9;2021-03-01;maanantai;Koko Suomi;kaikki;kaikki;2209;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;9;2021-03-02;tiistai;Koko Suomi;kaikki;kaikki;1123;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;9;2021-03-03;keskiviikko;Koko Suomi;kaikki;kaikki;1061;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;9;2021-03-04;torstai;Koko Suomi;kaikki;kaikki;843;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;9;2021-03-05;perjantai;Koko Suomi;kaikki;kaikki;852;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;9;2021-03-06;lauantai;Koko Suomi;kaikki;kaikki;242;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;9;2021-03-07;sunnuntai;Koko Suomi;kaikki;kaikki;206;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;10;2020-03-02;maanantai;Koko Suomi;kaikki;kaikki;1507;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;10;2020-03-03;tiistai;Koko Suomi;kaikki;kaikki;1425;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;10;2020-03-04;keskiviikko;Koko Suomi;kaikki;kaikki;1096;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;10;2020-03-05;torstai;Koko Suomi;kaikki;kaikki;984;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;10;2020-03-06;perjantai;Koko Suomi;kaikki;kaikki;859;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;10;2020-03-07;lauantai;Koko Suomi;kaikki;kaikki;220;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;10;2020-03-08;sunnuntai;Koko Suomi;kaikki;kaikki;280;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;10;2021-03-08;maanantai;Koko Suomi;kaikki;kaikki;1356;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;10;2021-03-09;tiistai;Koko Suomi;kaikki;kaikki;964;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;10;2021-03-10;keskiviikko;Koko Suomi;kaikki;kaikki;1315;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;10;2021-03-11;torstai;Koko Suomi;kaikki;kaikki;1072;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;10;2021-03-12;perjantai;Koko Suomi;kaikki;kaikki;990;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;10;2021-03-13;lauantai;Koko Suomi;kaikki;kaikki;101;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;10;2021-03-14;sunnuntai;Koko Suomi;kaikki;kaikki;521;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;11;2020-03-09;maanantai;Koko Suomi;kaikki;kaikki;1407;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;11;2020-03-10;tiistai;Koko Suomi;kaikki;kaikki;1155;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;11;2020-03-11;keskiviikko;Koko Suomi;kaikki;kaikki;1166;2021/07/13 10:02:58
