etuus;vuosi;aikatyyppi;viikko;alue;ikaluokka;sukupuoli;saapuneet_hakemukset;updated
Työttömyysturva;2020;viikko;3;Päijät-Häme;kaikki;kaikki;267;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Satakunta;kaikki;kaikki;483;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Uusimaa;kaikki;kaikki;2225;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Varsinais-Suomi;kaikki;kaikki;1095;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Etelä-Karjala;kaikki;kaikki;175;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Etelä-Pohjanmaa;kaikki;kaikki;256;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Etelä-Savo;kaikki;kaikki;203;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Kainuu;kaikki;kaikki;90;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Kanta-Häme;kaikki;kaikki;299;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Keski-Pohjanmaa;kaikki;kaikki;86;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Keski-Suomi;kaikki;kaikki;402;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Kymenlaakso;kaikki;kaikki;183;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Lappi;kaikki;kaikki;244;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Pirkanmaa;kaikki;kaikki;1022;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Pohjanmaa;kaikki;kaikki;188;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Pohjois-Karjala;kaikki;kaikki;250;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Pohjois-Pohjanmaa;kaikki;kaikki;607;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Pohjois-Savo;kaikki;kaikki;346;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Päijät-Häme;kaikki;kaikki;248;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Satakunta;kaikki;kaikki;260;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Uusimaa;kaikki;kaikki;2378;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;3;Varsinais-Suomi;kaikki;kaikki;697;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Etelä-Karjala;kaikki;kaikki;172;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Etelä-Pohjanmaa;kaikki;kaikki;229;2021/07/01 10:04:09
