"etuus";"vuosi";"kuukausi";"paiva";"variable";"val";"type"
"Perustoimeentulotuki";"2022";"2";"2022-02-01";"uudet saajat";"6939";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"2";"2022-02-01";"aiemmin tukea saaneet";"190453";"Saajat"
"Perustoimeentulotuki";"2022";"2";"2022-02-01";"aiemmin tukea saaneet";"128008";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"3";"2022-03-01";"uudet saajat";"9143";"Saajat"
"Perustoimeentulotuki";"2022";"3";"2022-03-01";"uudet saajat";"7075";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"3";"2022-03-01";"aiemmin tukea saaneet";"191758";"Saajat"
"Perustoimeentulotuki";"2022";"3";"2022-03-01";"aiemmin tukea saaneet";"129425";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"4";"2022-04-01";"uudet saajat";"7879";"Saajat"
"Perustoimeentulotuki";"2022";"4";"2022-04-01";"uudet saajat";"6156";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"4";"2022-04-01";"aiemmin tukea saaneet";"190900";"Saajat"
"Perustoimeentulotuki";"2022";"4";"2022-04-01";"aiemmin tukea saaneet";"129104";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"5";"2022-05-01";"uudet saajat";"7835";"Saajat"
"Perustoimeentulotuki";"2022";"5";"2022-05-01";"uudet saajat";"6145";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"5";"2022-05-01";"aiemmin tukea saaneet";"189034";"Saajat"
"Perustoimeentulotuki";"2022";"5";"2022-05-01";"aiemmin tukea saaneet";"127877";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"6";"2022-06-01";"uudet saajat";"11055";"Saajat"
"Perustoimeentulotuki";"2022";"6";"2022-06-01";"uudet saajat";"9323";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"6";"2022-06-01";"aiemmin tukea saaneet";"192941";"Saajat"
"Perustoimeentulotuki";"2022";"6";"2022-06-01";"aiemmin tukea saaneet";"131084";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"7";"2022-07-01";"uudet saajat";"7963";"Saajat"
"Perustoimeentulotuki";"2022";"7";"2022-07-01";"uudet saajat";"6445";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"7";"2022-07-01";"aiemmin tukea saaneet";"188318";"Saajat"
"Perustoimeentulotuki";"2022";"7";"2022-07-01";"aiemmin tukea saaneet";"128813";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"8";"2022-08-01";"uudet saajat";"7114";"Saajat"
"Perustoimeentulotuki";"2022";"8";"2022-08-01";"uudet saajat";"5591";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"8";"2022-08-01";"aiemmin tukea saaneet";"158665";"Saajat"
"Perustoimeentulotuki";"2022";"8";"2022-08-01";"aiemmin tukea saaneet";"108181";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"9";"2022-09-01";"uudet saajat";"7351";"Saajat"
"Perustoimeentulotuki";"2022";"9";"2022-09-01";"uudet saajat";"5672";"Saajakotitaloudet"
