tyyppi,vuosi,aikatyyppi,kuukausi,viikko,paiva,viikonpaiva,alue,aluetaso,palvelukanava,saatavuusaika_ka,hakemukset_sahkoiset_osuus,puhelinpalvelun_vastausprosentti,puhelinpalvelun_jonotusajan_keskiarvo_min,updated
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Asiakkuuspalvelujen tulosyksikkö,yksikkö,puhelinpalvelu,3.9,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Eteläinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,4.7,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Itäinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,3.9,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Keskinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,4,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Läntinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,4.4,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Pohjoinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,3.1,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Pääkaupunkiseudun asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,3.6,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Yhteyskeskus,yksikkö,puhelinpalvelu,3.1,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Asiakkuuspalvelujen tulosyksikkö,yksikkö,palvelupiste,3.6,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Eteläinen asiakaspalveluyksikkö,yksikkö,palvelupiste,4.7,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Itäinen asiakaspalveluyksikkö,yksikkö,palvelupiste,2.9,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Keskinen asiakaspalveluyksikkö,yksikkö,palvelupiste,5.4,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Läntinen asiakaspalveluyksikkö,yksikkö,palvelupiste,3.3,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Pohjoinen asiakaspalveluyksikkö,yksikkö,palvelupiste,3.6,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,10,NA,NA,Pääkaupunkiseudun asiakaspalveluyksikkö,yksikkö,palvelupiste,2.9,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Asiakkuuspalvelujen tulosyksikkö,yksikkö,puhelinpalvelu,4,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Eteläinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,5.2,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Itäinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,4,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Keskinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,4.1,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Läntinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,3.5,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Pohjoinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,3.3,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Pääkaupunkiseudun asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,4.2,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Yhteyskeskus,yksikkö,puhelinpalvelu,3.2,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Asiakkuuspalvelujen tulosyksikkö,yksikkö,palvelupiste,3.3,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Eteläinen asiakaspalveluyksikkö,yksikkö,palvelupiste,5.2,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Itäinen asiakaspalveluyksikkö,yksikkö,palvelupiste,3.3,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Keskinen asiakaspalveluyksikkö,yksikkö,palvelupiste,4.6,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Läntinen asiakaspalveluyksikkö,yksikkö,palvelupiste,2.8,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Pohjoinen asiakaspalveluyksikkö,yksikkö,palvelupiste,2.9,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,11,NA,NA,Pääkaupunkiseudun asiakaspalveluyksikkö,yksikkö,palvelupiste,2.8,NA,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,1,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,44.4,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,2,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,45.6,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,3,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,56.1,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,4,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,55.9,NA,NA,2021-03-26 10:04:31
